horizon,scheme,feature_set,threshold_name,threshold,n_high,n_low,surv_high,surv_low,logrank_p
7,A,CV17,fixed_0.6,0.6,2818,1572,0.9368346344925482,0.5769720101781167,9.417679339324841e-202
7,A,CV17,median,0.6877837572944022,2195,2195,0.9571753986332573,0.6587699316628701,1.1717910926817237e-140
7,A,CV17_THY26,fixed_0.6,0.6,2781,1609,0.94066882416397,0.5786202610316966,1.8332532887047667e-206
7,A,CV17_THY26,median,0.6874038710099823,2195,2195,0.9539863325740319,0.6619589977220952,2.7589191928402876e-135
7,B,CV17,fixed_0.6,0.6,551,327,0.9401088929219594,0.5871559633027522,3.1865691316089354e-41
7,B,CV17,median,0.68600675066184,439,439,0.9544419134396351,0.6628701594533031,1.213875069715873e-28
7,B,CV17_THY26,fixed_0.6,0.6,557,321,0.9407540394973066,0.5794392523364489,3.5128843987065928e-43
7,B,CV17_THY26,median,0.6887844366477479,439,439,0.9521640091116171,0.6651480637813211,6.422180531950042e-28
10,A,CV17,fixed_0.6,0.6,1287,1327,0.8834498834498834,0.3880934438583273,2.4735089140666963e-160
10,A,CV17,median,0.5946356276570303,1307,1307,0.880642693190513,0.3833205814843152,6.480632302943902e-163
10,A,CV17_THY26,fixed_0.6,0.6,1286,1328,0.8856920684292379,0.3862951807228916,5.0205436153299445e-163
10,A,CV17_THY26,median,0.5939936231429621,1307,1307,0.8837031369548585,0.3802601377199695,2.7710994172911336e-167
10,B,CV17,fixed_0.6,0.6,246,277,0.8821138211382118,0.4115523465703972,1.6458115806525374e-29
10,B,CV17,median,0.5569771272134705,262,261,0.8816793893129771,0.38314176245210735,4.3698998786742925e-34
10,B,CV17_THY26,fixed_0.6,0.6,242,281,0.8884297520661151,0.41281138790035593,3.4439803696051975e-30
10,B,CV17_THY26,median,0.5584322498981866,262,261,0.885496183206107,0.379310344827586,2.7716816884495454e-35
