model,horizon,base,feature_set,delta_f1_macro,delta_f1_ci_lo,delta_f1_ci_hi,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,scheme,cache_key
ENS_STACK,7,CV17,CV17_THY_CONT_STATES,0.0025572439328537255,-0.0072172503471292,0.013514366680503327,0.001858787654412608,-0.0016152058666117546,0.0052063166548064225,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_CONT_STATES,-0.016150102680485445,-0.041513857525552436,0.011227594876031045,0.0011485580147552188,-0.00607076222350843,0.008955733573043323,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_ABNORMAL_BIN,0.0009219108918520069,-0.007491089247417748,0.00996871513015662,4.7155282344779614e-05,-0.001974722790440217,0.0020838978972861607,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_ABNORMAL_BIN,-0.014855670992079406,-0.03855848554129661,0.00969096902395029,-0.0009725016767270223,-0.006253862017911574,0.0043539257868625185,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_STATE_ORD,-0.0024622702990849676,-0.009888350988747843,0.005114097682435396,0.0011370777302991408,-0.00031178155174299283,0.002666150294180957,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_STATE_ORD,0.007063147317948881,-0.0119195792177862,0.02932692710695194,-0.001685110663983691,-0.004790803291785823,0.0014228171056767684,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_CONT,0.009445099816263292,2.9236908666788273e-05,0.018551175898515442,0.003013590419919443,9.195675382872613e-06,0.00623613085967693,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_CONT,-0.0020751813376185257,-0.0233628034298769,0.019580820149945347,0.001282696177062559,-0.004924893134403463,0.007866600204526217,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_STATES,0.002343589006444158,-0.00528392426686683,0.009800269538350247,-0.000787593545545362,-0.0028531834926975473,0.0013438257596053022,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_STATES,0.0014710722005867316,-0.01591791215388104,0.019340100402579045,-0.0013246143527833043,-0.007076713604897108,0.004508702009323434,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_CONT_STATES_RATIO,0.004981887321834688,-0.003959720193734101,0.014121526237248102,0.0019139693677948655,-0.0019483595574938922,0.005731672633903689,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_CONT_STATES_RATIO,-0.007146152430304142,-0.03359352126012603,0.02025881857168041,0.0040409121395038605,-0.0036505991391642956,0.013189950319607997,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_CONT_RATIO,0.006766970740802569,-0.0025464149600045783,0.016837341882925388,0.0029139289012048986,-0.00045870949509084215,0.006302049370462725,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,7,CV17,CV17_THY_CONT_RATIO,-0.002958153948728781,-0.029858380232887966,0.023024217638892654,0.005021797451374876,-0.0012703855142411928,0.012299872094755571,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_CONT_STATES,0.0009317576963747687,-0.009090572066796584,0.011070708004573463,0.0006695091440855894,-0.0030336100711970014,0.004419130390189926,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_CONT_STATES,-0.003440687990279412,-0.02279659475645959,0.01890802528353192,0.0017780715005035752,-0.006875763732148465,0.010371636755282292,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_ABNORMAL_BIN,-0.0020928421112267337,-0.010741867090352597,0.0067471390361412,-3.020342003379195e-05,-0.0020352199453904235,0.001962173396116803,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_ABNORMAL_BIN,0.0034302788753215463,-0.014480564183282524,0.020490762210468434,0.002533358509567041,-0.0021675842571123676,0.007772763984614761,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_STATE_ORD,0.0014997540380243812,-0.0069096847059123305,0.009437090406220637,0.0005795281219012072,-0.001199511087331026,0.002491445488888571,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_STATE_ORD,0.001222197525610147,-0.010288549138689285,0.013234010297762482,0.0002674974823767551,-0.003721381240535068,0.004715827243621795,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_CONT,0.004757710825054273,-0.004716426633238524,0.014631035948186702,0.0024137566510449293,-0.0009018566031862574,0.0056592429619469085,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_CONT,-0.008441213655390967,-0.029944548121710712,0.014021440145336624,0.00236027190332333,-0.005817629613969302,0.010506581680597243,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_STATES,0.0009686720497905643,-0.007728258616799985,0.009571126212183454,0.0009098780285221597,-0.001345732097794766,0.003281147013327345,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_STATES,0.011322682625345082,-0.005312075135868402,0.03015200477359391,0.0013217522658610648,-0.0035631905286216846,0.006412663933115967,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_CONT_STATES_RATIO,-0.001823174839101882,-0.012313064063685899,0.008778641255685574,0.0019424574509321335,-0.0016597897014406337,0.005879055092607479,A_5fold_cv,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_CONT_STATES_RATIO,-0.0035420177295449884,-0.02420944231232874,0.01883287712920768,0.001652190332326331,-0.006570359681556745,0.009607979446908691,B_60_20_20,a5a99875fd42645eff5f
ENS_STACK,10,CV17,CV17_THY_CONT_RATIO,-0.0032433784667862398,-0.012725602751495707,0.006073491953918653,0.002321887915108345,-0.0013756333156611372,0.0058384995821526035,A_5fold_cv,a5a99875fd42645eff5f
