model,horizon,feature_set,mode,feature,members,baseline_f1,knockout_f1,importance,is_thyroid,cache_key
ENSEMBLE,7,CV17_THY_CONT_STATES,single,PostIsch_DCM,PostIsch_DCM,0.7361968142354882,0.726462707956882,1.0133993199815896,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Gender,Gender,0.7361968142354882,0.7282010145631617,1.010980209464722,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Acute_MI,Acute_MI,0.7361968142354882,0.7294838335508192,1.0092023707393116,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,AFib,AFib,0.7361968142354882,0.7295989821127904,1.0090430939248183,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Ischemia,Ischemia,0.7361968142354882,0.7306501831501832,1.0075913634365914,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Low_T3,Low_T3,0.7361968142354882,0.7307721136876248,1.0074232451488732,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Diabetes,Diabetes,0.7361968142354882,0.7318215475749723,1.0059785977538023,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Vessels,Vessels,0.7361968142354882,0.7335464422279321,1.0036130936706698,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Angina,Angina,0.7361968142354882,0.7345675166100114,1.0022180365842965,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Previous_PCI,Previous_PCI,0.7361968142354882,0.7349051603250112,1.0017575790458537,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Previous_CABG,Previous_CABG,0.7361968142354882,0.7361968142354882,1.0,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,SCT,SCT,0.7361968142354882,0.7361968142354882,1.0,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Hypothyroid,Hypothyroid,0.7361968142354882,0.7361968142354882,1.0,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,fT3,fT3,0.7361968142354882,0.7372975759751798,0.9985070319290883,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Hyperthyroid,Hyperthyroid,0.7361968142354882,0.7388324912831592,0.9964326459938253,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Previous_MI,Previous_MI,0.7361968142354882,0.7400639478214927,0.9947745953611333,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,SCH,SCH,0.7361968142354882,0.74141837030593,0.9929573419278952,True,1d225cfbcbdb0d4d706d
