horizon,feature_set,model,scheme,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier,threshold,f1_macro_std,roc_auc_std,precision_1_std,recall_1_std,precision_0_std,recall_0_std,brier_std,threshold_std,cache_key
7,CV17,LogisticRegression,A_5fold_cv,0.7309286332682404,0.840048270206165,0.5406413406413406,0.6120808678500987,0.9045951031927432,0.8742513756729373,0.1617386954682634,0.648,0.0231359410950846,0.0161654530919996,0.0549923107643737,0.0235349292565978,0.0052608918372562,0.0270368590006681,0.0048196557360945,0.0303315017762062,85033eaf7973736b5b9a
7,CV17,LogisticRegression,B_60_20_20,0.74400817251728,0.8375083836351442,0.6174496644295302,0.5476190476190477,0.8957475994513031,0.9197183098591548,0.1612281152882298,0.7,,,,,,,,,85033eaf7973736b5b9a
7,CV17,RandomForest,A_5fold_cv,0.7072343618511875,0.816135066562037,0.4995226355356195,0.59427303465765,0.899465383040168,0.8556494964143111,0.1225268792710706,0.396,0.0140518419385958,0.0247588268322833,0.0373546363793423,0.0895550786541252,0.0161851916647941,0.0375890214895853,0.0082939775403695,0.0589915248150104,85033eaf7973736b5b9a
7,CV17,RandomForest,B_60_20_20,0.7176085183063072,0.8297283702213278,0.5527950310559007,0.5297619047619048,0.8898186889818689,0.8985915492957747,0.1175473804100227,0.48,,,,,,,,,85033eaf7973736b5b9a
7,CV17,AdaBoost,A_5fold_cv,0.7204595751223388,0.8332397035546165,0.5356586815553199,0.5717455621301776,0.8967393574145822,0.881864160988498,0.1959302340789427,0.544,0.0185899406349061,0.0150467026731362,0.0248644360722936,0.0591002526789021,0.0116417260811236,0.0159358001136712,0.0030112903182467,0.0089442719099991,85033eaf7973736b5b9a
7,CV17,AdaBoost,B_60_20_20,0.7148178685728173,0.8244005700871897,0.5925925925925926,0.4761904761904761,0.8815612382234186,0.9225352112676056,0.1970010694814963,0.56,,,,,,,,,85033eaf7973736b5b9a
7,CV17,SVC,A_5fold_cv,0.7145650293404184,0.8163987922032323,0.5174103624901497,0.5813257255564948,0.8972574053263884,0.8691920777131052,0.1526834055807341,0.624,0.0253787042659224,0.0141862180784088,0.0542245549167866,0.0336968314960554,0.0081187313403574,0.0262782382737937,0.0073896823531114,0.066932802122726,85033eaf7973736b5b9a
7,CV17,SVC,B_60_20_20,0.726063726063726,0.8258718980549967,0.5198019801980198,0.625,0.9068047337278108,0.8633802816901408,0.1465880513395906,0.62,,,,,,,,,85033eaf7973736b5b9a
7,CV17,KNeighbors,A_5fold_cv,0.6395228529604906,0.7095309661302232,0.3945519880494305,0.4910326852634544,0.8714617601149903,0.818429448340253,0.2158086560364465,0.58,0.016872137343083,0.015924745059085,0.0315169839052456,0.0528103506821079,0.0075333900172251,0.0397052661071353,0.0022190576542974,0.0894427190999915,85033eaf7973736b5b9a
7,CV17,KNeighbors,B_60_20_20,0.6707638625742074,0.7446135144198525,0.4438775510204081,0.5178571428571429,0.8812316715542522,0.8464788732394366,0.1990432801822323,0.62,,,,,,,,,85033eaf7973736b5b9a
