horizon,n,events_cardiac,events_noncardiac,cif_aalen_johansen,risk_one_minus_km,overestimate_of_one_minus_km
7.0,8063,1008,1399,0.11724274070339849,0.1255720214788857,0.008329280775487197
10.0,8063,1008,1399,0.14872569894227852,0.16475113336341285,0.016025434421134327
