horizon,thyroid_set,comparison_role,delta_c_index,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,q_bh
7.0,CV17_THY_CONT,primary,0.0013775913497660053,-0.0011350579276090621,0.003438251536332934,0.243,2000,False,
7.0,CV17_THY_STATES,secondary,0.004219082941305574,0.0011257243445867843,0.007508076306227617,0.009,2000,True,0.026999999999999996
7.0,CV17_THY_CONT_STATES,secondary,0.003885620884252261,0.00030960293199515653,0.0075308420956751295,0.035,2000,True,0.052500000000000005
7.0,CV17_THY_CONT_RATIO,secondary,0.0008515871055058133,-0.0017967350768379325,0.0029067735433256107,0.437,2000,False,0.437
10.0,CV17_THY_CONT,primary,0.0006699905499671921,-0.0016796686341983558,0.0025597257048416695,0.495,2000,False,
10.0,CV17_THY_STATES,secondary,0.003834262649301756,0.000891581495644589,0.007122888453037039,0.012,2000,True,0.036000000000000004
10.0,CV17_THY_CONT_STATES,secondary,0.003204403078636453,-0.00023345585219875504,0.006712194497007131,0.073,2000,False,0.10949999999999999
10.0,CV17_THY_CONT_RATIO,secondary,-4.620624482587488e-06,-0.0024655933650847284,0.001988621923415653,0.93,2000,False,0.93
