horizon,full_cohort,events_within_horizon,event_free_through_horizon,excluded_censored_before_horizon,excluded_noncardiac_death_before_horizon,strict_cohort,prevalence
7,8065,843,3547,2628,1047,4390,0.192
10,8065,962,1652,4179,1272,2614,0.368
