feature_set,horizon,c_harrell_mean,c_harrell_std,c_uno_mean,c_uno_std,mean_predicted_cif
CV17,7.0,0.7876647894174058,0.0050877949552616646,0.7842303469828364,0.00880630371969222,0.11845016902122649
CV17,10.0,0.7845646912990476,0.005264244252256405,0.7769215041943565,0.010997913626604435,0.15052243468447513
CV17_THY_CONT,7.0,0.789216308343294,0.005434243367231125,0.7860287267785578,0.01007741892681806,0.11788034434921686
CV17_THY_CONT,10.0,0.7853117209032923,0.005849963783821395,0.7776822255513638,0.01213442925114531,0.14957306354193356
CV17_THY_CONT_RATIO,7.0,0.7886360693565682,0.00520229853959458,0.7854765698522008,0.009957199656188936,0.11795674184218288
CV17_THY_CONT_RATIO,10.0,0.7845513309652569,0.005710109064565022,0.7769524237691701,0.012320459797598932,0.1496918115745661
CV17_THY_CONT_STATES,7.0,0.7917396173587702,0.0044638373257533245,0.7876637849591652,0.007366722021360701,0.11756051720790768
CV17_THY_CONT_STATES,10.0,0.7878738447962879,0.004293096077797239,0.7781702306103087,0.009394576529199176,0.14861060538437373
CV17_THY_STATES,7.0,0.792036313599548,0.004442224737930314,0.7876044477465325,0.007195620798704965,0.1179544189012635
CV17_THY_STATES,10.0,0.78833613729378,0.0036948193725881706,0.7785519698896406,0.008981471304778658,0.14916312000571916
