model,thyroid_set,comparison_role,delta_c_index,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,q_bh
Cox,CV17_THY_CONT,primary,0.0012439526071887919,-0.0013767844474236652,0.003553639113809517,0.338,2000,False,
Cox,CV17_THY_STATES,secondary,0.004105807806689898,0.001219461441641781,0.007226297020695232,0.006,2000,True,0.018000000000000002
Cox,CV17_THY_CONT_STATES,secondary,0.0036960251935640454,0.00022696737566894887,0.007240283948126273,0.041,2000,True,0.0615
Cox,CV17_THY_CONT_RATIO,secondary,0.0004685413301342978,-0.0024354544297306682,0.0030483937750995036,0.682,2000,False,0.682
RSF,CV17_THY_CONT,primary,0.008492502659426249,0.0031031998479651435,0.013998259614310797,0.001,2000,True,
RSF,CV17_THY_STATES,secondary,0.003454961613235774,0.0005170109271972201,0.006318191339468313,0.018,2000,True,0.036000000000000004
RSF,CV17_THY_CONT_STATES,secondary,0.006780008722103159,0.0007846761626352617,0.012840182039340895,0.024,2000,True,0.036000000000000004
RSF,CV17_THY_CONT_RATIO,secondary,0.0062572938927615285,-0.0004838840714842668,0.012692868571720644,0.068,2000,False,0.068
