horizon,feature_set,ensemble,threshold,n_flagged,flagged_fraction,true_positives,false_positives,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,degenerate
7,CV17,paper,0.1,448,0.510250569476082,149,299,0.13186535054416604,0.10149329283725639,0.0,False
7,CV17,paper,0.2,289,0.32915717539863326,128,161,0.09994305239179954,-0.01082004555808655,0.0,False
7,CV17,paper,0.3,201,0.22892938496583143,113,88,0.08574682720468599,-0.15522290920924178,0.0,False
7,CV17,paper,0.4,141,0.16059225512528474,91,50,0.0656795747911921,-0.3477600607441155,0.0,False
7,CV17,paper,0.5,103,0.11731207289293849,70,33,0.042141230068337136,-0.6173120728929384,0.0,False
7,CV17_THY_CONT,paper,0.1,439,0.5,149,290,0.13300430270817515,0.10149329283725639,0.0,False
7,CV17_THY_CONT,paper,0.2,283,0.3223234624145786,129,154,0.1030751708428246,-0.01082004555808655,0.0,False
7,CV17_THY_CONT,paper,0.3,206,0.23462414578587698,111,95,0.08005206638464042,-0.15522290920924178,0.0,False
7,CV17_THY_CONT,paper,0.4,137,0.1560364464692483,92,45,0.07061503416856493,-0.3477600607441155,0.0,False
7,CV17_THY_CONT,paper,0.5,100,0.11389521640091116,66,34,0.03644646924829156,-0.6173120728929384,0.0,False
7,CV17_THY_STATES,paper,0.1,434,0.49430523917995445,150,284,0.13490255631485698,0.10149329283725639,0.0,False
7,CV17_THY_STATES,paper,0.2,287,0.32687927107061504,129,158,0.10193621867881549,-0.01082004555808655,0.0,False
7,CV17_THY_STATES,paper,0.3,203,0.23120728929384965,112,91,0.08314350797266516,-0.15522290920924178,0.0,False
7,CV17_THY_STATES,paper,0.4,132,0.15034168564920272,85,47,0.061123766135155654,-0.3477600607441155,0.0,False
7,CV17_THY_STATES,paper,0.5,103,0.11731207289293849,66,37,0.03302961275626423,-0.6173120728929384,0.0,False
7,CV17_THY_CONT_STATES,paper,0.1,425,0.48405466970387245,147,278,0.1322450012655024,0.10149329283725639,0.0,False
7,CV17_THY_CONT_STATES,paper,0.2,287,0.32687927107061504,129,158,0.10193621867881549,-0.01082004555808655,0.0,False
7,CV17_THY_CONT_STATES,paper,0.3,208,0.23690205011389523,112,96,0.08070289619264563,-0.15522290920924178,0.0,False
7,CV17_THY_CONT_STATES,paper,0.4,140,0.15945330296127563,89,51,0.06264236902050113,-0.3477600607441155,0.0,False
7,CV17_THY_CONT_STATES,paper,0.5,95,0.1082004555808656,65,30,0.0398633257403189,-0.6173120728929384,0.0,False
7,CV17_THY_CONT_RATIO,paper,0.1,437,0.4977220956719818,150,287,0.13452290559352062,0.10149329283725639,0.0,False
7,CV17_THY_CONT_RATIO,paper,0.2,285,0.3246013667425968,129,156,0.10250569476082004,-0.01082004555808655,0.0,False
7,CV17_THY_CONT_RATIO,paper,0.3,206,0.23462414578587698,110,96,0.07842499186462741,-0.15522290920924178,0.0,False
7,CV17_THY_CONT_RATIO,paper,0.4,133,0.15148063781321183,87,46,0.0641609719058466,-0.3477600607441155,0.0,False
7,CV17_THY_CONT_RATIO,paper,0.5,102,0.11617312072892938,67,35,0.03644646924829156,-0.6173120728929384,0.0,False
10,CV17,paper,0.1,384,0.734225621414914,186,198,0.3135755258126195,0.2967920118971744,0.0,False
10,CV17,paper,0.2,307,0.5869980879541109,173,134,0.26673040152963673,0.20889101338432126,0.0,False
10,CV17,paper,0.3,264,0.5047801147227533,161,103,0.2234362196121278,0.09587544386779573,0.0,False
10,CV17,paper,0.4,233,0.44550669216061184,150,83,0.1810070108349267,-0.05481198215423838,0.0,False
10,CV17,paper,0.5,191,0.3652007648183556,136,55,0.15487571701720843,-0.26577437858508596,0.0,False
