horizon,feature_set,ensemble,threshold,high_risk_per_1000,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,ppv,npv,degenerate
7,CV17,paper,0.1,510.25056947608203,149,299,19,411,0.8869047619047619,0.5788732394366197,0.3325892857142857,0.9558139534883721,False
7,CV17,paper,0.2,329.1571753986333,128,161,40,549,0.7619047619047619,0.7732394366197183,0.4429065743944637,0.9320882852292021,False
7,CV17,paper,0.3,228.92938496583142,113,88,55,622,0.6726190476190477,0.8760563380281691,0.5621890547263682,0.9187592319054653,False
7,CV17,paper,0.4,160.59225512528474,91,50,77,660,0.5416666666666666,0.9295774647887324,0.6453900709219859,0.8955223880597015,False
7,CV17,paper,0.5,117.31207289293849,70,33,98,677,0.4166666666666667,0.9535211267605633,0.6796116504854369,0.8735483870967742,False
7,CV17_THY_CONT,paper,0.1,500.0,149,290,19,420,0.8869047619047619,0.5915492957746479,0.33940774487471526,0.9567198177676538,False
7,CV17_THY_CONT,paper,0.2,322.3234624145786,129,154,39,556,0.7678571428571429,0.7830985915492957,0.4558303886925795,0.934453781512605,False
7,CV17_THY_CONT,paper,0.3,234.62414578587698,111,95,57,615,0.6607142857142857,0.8661971830985915,0.5388349514563107,0.9151785714285714,False
7,CV17_THY_CONT,paper,0.4,156.0364464692483,92,45,76,665,0.5476190476190477,0.9366197183098591,0.6715328467153284,0.8974358974358975,False
7,CV17_THY_CONT,paper,0.5,113.89521640091115,66,34,102,676,0.39285714285714285,0.952112676056338,0.66,0.8688946015424165,False
7,CV17_THY_STATES,paper,0.1,494.30523917995447,150,284,18,426,0.8928571428571429,0.6,0.3456221198156682,0.9594594594594594,False
7,CV17_THY_STATES,paper,0.2,326.87927107061506,129,158,39,552,0.7678571428571429,0.7774647887323943,0.44947735191637633,0.934010152284264,False
7,CV17_THY_STATES,paper,0.3,231.20728929384964,112,91,56,619,0.6666666666666666,0.8718309859154929,0.5517241379310345,0.917037037037037,False
7,CV17_THY_STATES,paper,0.4,150.34168564920273,85,47,83,663,0.5059523809523809,0.9338028169014084,0.6439393939393939,0.8887399463806971,False
7,CV17_THY_STATES,paper,0.5,117.31207289293849,66,37,102,673,0.39285714285714285,0.9478873239436619,0.6407766990291263,0.8683870967741936,False
7,CV17_THY_CONT_STATES,paper,0.1,484.05466970387243,147,278,21,432,0.875,0.6084507042253521,0.3458823529411765,0.9536423841059603,False
7,CV17_THY_CONT_STATES,paper,0.2,326.87927107061506,129,158,39,552,0.7678571428571429,0.7774647887323943,0.44947735191637633,0.934010152284264,False
7,CV17_THY_CONT_STATES,paper,0.3,236.90205011389523,112,96,56,614,0.6666666666666666,0.8647887323943662,0.5384615384615384,0.9164179104477612,False
7,CV17_THY_CONT_STATES,paper,0.4,159.45330296127563,89,51,79,659,0.5297619047619048,0.928169014084507,0.6357142857142857,0.8929539295392954,False
7,CV17_THY_CONT_STATES,paper,0.5,108.20045558086561,65,30,103,680,0.3869047619047619,0.9577464788732394,0.6842105263157895,0.8684546615581098,False
7,CV17_THY_CONT_RATIO,paper,0.1,497.7220956719818,150,287,18,423,0.8928571428571429,0.5957746478873239,0.34324942791762014,0.9591836734693877,False
7,CV17_THY_CONT_RATIO,paper,0.2,324.60136674259684,129,156,39,554,0.7678571428571429,0.780281690140845,0.45263157894736844,0.9342327150084317,False
7,CV17_THY_CONT_RATIO,paper,0.3,234.62414578587698,110,96,58,614,0.6547619047619048,0.8647887323943662,0.5339805825242718,0.9136904761904762,False
7,CV17_THY_CONT_RATIO,paper,0.4,151.48063781321184,87,46,81,664,0.5178571428571429,0.9352112676056338,0.6541353383458647,0.8912751677852349,False
7,CV17_THY_CONT_RATIO,paper,0.5,116.17312072892938,67,35,101,675,0.39880952380952384,0.9507042253521126,0.6568627450980392,0.8698453608247423,False
10,CV17,paper,0.1,734.225621414914,186,198,6,133,0.96875,0.40181268882175225,0.484375,0.9568345323741008,False
10,CV17,paper,0.2,586.9980879541109,173,134,19,197,0.9010416666666666,0.595166163141994,0.5635179153094463,0.9120370370370371,False
10,CV17,paper,0.3,504.7801147227533,161,103,31,228,0.8385416666666666,0.6888217522658611,0.6098484848484849,0.8803088803088803,False
10,CV17,paper,0.4,445.50669216061186,150,83,42,248,0.78125,0.7492447129909365,0.6437768240343348,0.8551724137931035,False
10,CV17,paper,0.5,365.2007648183556,136,55,56,276,0.7083333333333334,0.8338368580060423,0.7120418848167539,0.8313253012048193,False
10,CV17,diverse,0.1,715.1051625239005,184,190,8,141,0.9583333333333334,0.4259818731117825,0.4919786096256685,0.9463087248322147,False
10,CV17,diverse,0.2,594.6462715105163,172,139,20,192,0.8958333333333334,0.5800604229607251,0.5530546623794212,0.9056603773584906,False
10,CV17,diverse,0.3,499.0439770554493,158,103,34,228,0.8229166666666666,0.6888217522658611,0.6053639846743295,0.8702290076335878,False
10,CV17,diverse,0.4,426.38623326959845,148,75,44,256,0.7708333333333334,0.7734138972809668,0.6636771300448431,0.8533333333333334,False
10,CV17,diverse,0.5,372.848948374761,135,60,57,271,0.703125,0.8187311178247734,0.6923076923076923,0.8262195121951219,False
10,CV17_THY_CONT,paper,0.1,720.8413001912046,186,191,6,140,0.96875,0.4229607250755287,0.493368700265252,0.958904109589041,False
10,CV17_THY_CONT,paper,0.2,583.1739961759083,174,131,18,200,0.90625,0.6042296072507553,0.5704918032786885,0.9174311926605505,False
10,CV17_THY_CONT,paper,0.3,512.4282982791588,163,105,29,226,0.8489583333333334,0.6827794561933535,0.6082089552238806,0.8862745098039215,False
10,CV17_THY_CONT,paper,0.4,451.24282982791584,152,84,40,247,0.7916666666666666,0.7462235649546828,0.6440677966101694,0.8606271777003485,False
10,CV17_THY_CONT,paper,0.5,365.2007648183556,133,58,59,273,0.6927083333333334,0.824773413897281,0.6963350785340314,0.822289156626506,False
10,CV17_THY_CONT,diverse,0.1,722.753346080306,184,194,8,137,0.9583333333333334,0.41389728096676737,0.48677248677248675,0.9448275862068966,False
10,CV17_THY_CONT,diverse,0.2,560.2294455066922,168,125,24,206,0.875,0.622356495468278,0.5733788395904437,0.8956521739130435,False
10,CV17_THY_CONT,diverse,0.3,476.09942638623323,154,95,38,236,0.8020833333333334,0.7129909365558912,0.6184738955823293,0.8613138686131386,False
10,CV17_THY_CONT,diverse,0.4,405.35372848948373,141,71,51,260,0.734375,0.7854984894259819,0.6650943396226415,0.8360128617363344,False
10,CV17_THY_CONT,diverse,0.5,340.3441682600382,129,49,63,282,0.671875,0.851963746223565,0.7247191011235955,0.8173913043478261,False
10,CV17_THY_STATES,paper,0.1,726.5774378585086,187,193,5,138,0.9739583333333334,0.4169184290030212,0.4921052631578947,0.965034965034965,False
10,CV17_THY_STATES,paper,0.2,579.3499043977055,173,130,19,201,0.9010416666666666,0.6072507552870091,0.570957095709571,0.9136363636363637,False
10,CV17_THY_STATES,paper,0.3,512.4282982791588,162,106,30,225,0.84375,0.6797583081570997,0.6044776119402985,0.8823529411764706,False
10,CV17_THY_STATES,paper,0.4,434.0344168260038,150,77,42,254,0.78125,0.7673716012084593,0.6607929515418502,0.8581081081081081,False
10,CV17_THY_STATES,paper,0.5,367.112810707457,135,57,57,274,0.703125,0.8277945619335347,0.703125,0.8277945619335347,False
