horizon,feature_set,model,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17,LogisticRegression,2634,506,0.1921032649962035,0.5,0.6968278834612784,0.8368227881957859,0.5893952259257766,0.1637020830325983,0.43572241183162685,0.7569169960474308,0.9299145299145299,0.7669172932330827
7,CV17,SVC,2634,506,0.1921032649962035,0.5,0.6886861072797731,0.8087396727985973,0.5229077323733504,0.15688551747903612,0.4372574385510996,0.6679841897233202,0.9097259537882859,0.7955827067669173
7,CV17,KNeighbors,2634,506,0.1921032649962035,0.5,0.6036743555319081,0.6904788218074831,0.32463002758089526,0.22419134396355353,0.32790697674418606,0.5573122529644269,0.8737316798196166,0.7283834586466166
7,CV17,RandomForest,2634,506,0.1921032649962035,0.5,0.6884423055603947,0.8118234382893994,0.5254969053432335,0.12564825360668186,0.5328638497652582,0.44861660079051385,0.873641304347826,0.9064849624060151
7,CV17,AdaBoost,2634,506,0.1921032649962035,0.5,0.6957924344531805,0.8275844935956492,0.5723904866655363,0.19654242075246933,0.43922984356197353,0.7213438735177866,0.9217970049916805,0.7810150375939849
7,CV17,MLP,2634,506,0.1921032649962035,0.5,0.6811011750659414,0.8167209649618116,0.5516168399973954,0.16211742997557818,0.42168674698795183,0.691699604743083,0.9135254988913526,0.7744360902255639
7,CV17,GradientBoosting,2634,506,0.1921032649962035,0.5,0.7007297046406227,0.8235190867484917,0.5737669326215519,0.15602351940172518,0.4467564259485924,0.7213438735177866,0.9223995597138139,0.7875939849624061
7,CV17,XGBoost,2634,506,0.1921032649962035,0.5,0.6819927783886595,0.7858842387589526,0.5017523093341576,0.14994300958838483,0.48616600790513836,0.48616600790513836,0.8778195488721805,0.8778195488721805
7,CV17_THY_CONT,LogisticRegression,2634,506,0.1921032649962035,0.5,0.6928473810867821,0.8350034547832033,0.5818327685347786,0.16397069978949802,0.4308390022675737,0.7509881422924901,0.928082191780822,0.7640977443609023
7,CV17_THY_CONT,SVC,2634,506,0.1921032649962035,0.5,0.6924633274824474,0.8171751017860859,0.534532341373437,0.15285316189407344,0.4418604651162791,0.6758893280632411,0.9118279569892473,0.7969924812030075
7,CV17_THY_CONT,KNeighbors,2634,506,0.1921032649962035,0.5,0.6110189990220883,0.6960269064459567,0.3275878340790191,0.22086560364464697,0.336866902237927,0.5652173913043478,0.876750700280112,0.7354323308270677
7,CV17_THY_CONT,RandomForest,2634,506,0.1921032649962035,0.5,0.7024623030366612,0.8290021620256174,0.5695295476804358,0.11787133637053909,0.5956873315363881,0.4367588932806324,0.8740609809986744,0.9295112781954887
7,CV17_THY_CONT,AdaBoost,2634,506,0.1921032649962035,0.5,0.6873572461210093,0.8270616325893787,0.5707959979576548,0.1961318452973382,0.43139678615574784,0.6897233201581028,0.913972602739726,0.7838345864661654
7,CV17_THY_CONT,MLP,2634,506,0.1921032649962035,0.5,0.6973364460463085,0.8349969538470683,0.5851676172545086,0.15709568357358059,0.4403341288782816,0.7292490118577075,0.9237193763919822,0.7796052631578947
7,CV17_THY_CONT,GradientBoosting,2634,506,0.1921032649962035,0.5,0.6960865669851748,0.8287727718505751,0.5833714505620463,0.14902735046098492,0.44900662251655626,0.6699604743083004,0.9111229377328366,0.8045112781954887
7,CV17_THY_CONT,XGBoost,2634,506,0.1921032649962035,0.5,0.7019324512534819,0.8029612692799191,0.5414231121936967,0.13766220313407243,0.5418502202643172,0.48616600790513836,0.8807339449541285,0.9022556390977443
7,CV17_THY_STATES,LogisticRegression,2634,506,0.1921032649962035,0.5,0.6975934872070138,0.8368200020802997,0.5888930092116496,0.16313690595103097,0.43707093821510296,0.7549407114624506,0.9295454545454546,0.768796992481203
7,CV17_THY_STATES,SVC,2634,506,0.1921032649962035,0.5,0.6962777493412959,0.8088817646884008,0.515291473276018,0.15197031814003265,0.4532967032967033,0.6521739130434783,0.9076600209863589,0.8129699248120301
7,CV17_THY_STATES,KNeighbors,2634,506,0.1921032649962035,0.5,0.6071159257069031,0.6910383666676573,0.32297608708519815,0.22397873955960518,0.33215962441314556,0.5592885375494071,0.8748597081930415,0.7326127819548872
7,CV17_THY_STATES,RandomForest,2634,506,0.1921032649962035,0.5,0.6775912966382667,0.8102971113554639,0.5292120452220063,0.1250236142748671,0.5260545905707196,0.4189723320158103,0.8682205289108024,0.9102443609022557
7,CV17_THY_STATES,AdaBoost,2634,506,0.1921032649962035,0.5,0.6939269769433062,0.8276522890724837,0.5712268392723795,0.19567843411885152,0.43795620437956206,0.7114624505928854,0.9194260485651214,0.7828947368421053
7,CV17_THY_STATES,MLP,2634,506,0.1921032649962035,0.5,0.6875710782389912,0.8043143927011205,0.5306202256564119,0.16125192144513503,0.43439490445859874,0.6739130434782609,0.9107625743645213,0.7913533834586466
7,CV17_THY_STATES,GradientBoosting,2634,506,0.1921032649962035,0.5,0.6992605564534482,0.8206387076881928,0.5705115709197645,0.15614323042189027,0.4465174129353234,0.7094861660079052,0.919672131147541,0.7908834586466166
7,CV17_THY_STATES,XGBoost,2634,506,0.1921032649962035,0.5,0.6763644658838323,0.7815007503937709,0.4983375406667364,0.15178414214152064,0.4763779527559055,0.4782608695652174,0.8758231420507996,0.875
7,CV17_THY_CONT_STATES,LogisticRegression,2634,506,0.1921032649962035,0.5,0.6958483289651922,0.8353238580641326,0.5861928353961438,0.16344586923578172,0.43458475540386804,0.7549407114624506,0.9293447293447293,0.7664473684210527
7,CV17_THY_CONT_STATES,SVC,2634,506,0.1921032649962035,0.5,0.697027056042064,0.81332561888912,0.51758508420572,0.15117620531335735,0.45555555555555555,0.6482213438735178,0.9070010449320794,0.8157894736842105
7,CV17_THY_CONT_STATES,KNeighbors,2634,506,0.1921032649962035,0.5,0.6143103309031926,0.7012805915480401,0.33142970879094036,0.22060744115413822,0.3408018867924528,0.5711462450592886,0.8784994400895857,0.737312030075188
7,CV17_THY_CONT_STATES,RandomForest,2634,506,0.1921032649962035,0.5,0.6976217834149383,0.8256592877945853,0.5612890690249546,0.11918709187547456,0.598314606741573,0.4209486166007905,0.8713784021071115,0.9328007518796992
7,CV17_THY_CONT_STATES,AdaBoost,2634,506,0.1921032649962035,0.5,0.6873572461210093,0.8270616325893787,0.5707959979576548,0.1961318452973382,0.43139678615574784,0.6897233201581028,0.913972602739726,0.7838345864661654
7,CV17_THY_CONT_STATES,MLP,2634,506,0.1921032649962035,0.5,0.6983053877829242,0.806471774792713,0.5354454539698357,0.15584905342991195,0.4540540540540541,0.6640316205533597,0.9102428722280888,0.8101503759398496
7,CV17_THY_CONT_STATES,GradientBoosting,2634,506,0.1921032649962035,0.5,0.7065961918585315,0.828666435109513,0.5834917840119253,0.14914236842694015,0.46328437917222964,0.6857707509881423,0.9156498673740053,0.8110902255639098
7,CV17_THY_CONT_STATES,XGBoost,2634,506,0.1921032649962035,0.5,0.6939646573702821,0.7931281390234479,0.5349286739019815,0.1408020965264773,0.5325842696629214,0.4683794466403162,0.8771128369118318,0.9022556390977443
7,CV17_THY_CONT_RATIO,LogisticRegression,2634,506,0.1921032649962035,0.5,0.6923737260160638,0.8346115412047905,0.5789772733751641,0.1644574637568526,0.4296962879640045,0.7549407114624506,0.9289398280802292,0.7617481203007519
7,CV17_THY_CONT_RATIO,SVC,2634,506,0.1921032649962035,0.5,0.6917314930868643,0.8194030654699991,0.5367194883205938,0.1537629964456035,0.44030808729139925,0.6778656126482213,0.9121293800539083,0.7951127819548872
