kind,name,n_variables,block,baseline_f1_macro,ablated_f1_macro,importance_ratio,importance_ratio_ci_lo,importance_ratio_ci_hi,absolute_f1_drop,absolute_f1_drop_ci_lo,absolute_f1_drop_ci_hi
block,complete thyroid block,3,thyroid,0.7596902502253029,0.7517955422846896,1.0105011369402663,0.9885511882440348,1.0345088995577927,0.00789470794061331,-0.008756621746160384,0.025274921508922764
cluster,"cluster 3: Angina, Previous_CABG, Previous_PCI, Previous_MI, Angiography, Vessels, Ischemia, PostIsch_DCM, Dyslipidemia, AFib, LVEF",11,cardiovascular,0.7596902502253029,0.5974775685107737,1.2714958523360935,1.1756726580473167,1.3739356118046442,0.16221268171452918,0.11158080453048819,0.2107045490524956
cluster,"cluster 6: Age, fT3",2,mixed,0.7596902502253029,0.6805044613927521,1.1163633647169418,1.0567307744813705,1.1864441602462803,0.07918578883255079,0.04014322543023875,0.12050524937762963
cluster,cluster 1: Diabetes,1,cardiovascular,0.7596902502253029,0.7359810670663823,1.0322143927607068,1.010814182063064,1.0569921220735918,0.023709183158920566,0.008072310461528098,0.04115469325858769
cluster,cluster 7: Acute_MI,1,cardiovascular,0.7596902502253029,0.7480403565658506,1.0155738838916866,0.999999953666773,1.0334036250633507,0.011649893659452348,-3.478674278078822e-08,0.024621642349930663
cluster,"cluster 4: TSH, fT4",2,thyroid,0.7596902502253029,0.7518752990131177,1.0103939459408267,0.9885998942698622,1.0358977983033681,0.007814951212185228,-0.008786990892578611,0.02606036295769024
cluster,cluster 2: Hypertension,1,cardiovascular,0.7596902502253029,0.7545418151157511,1.0068232601645304,1.0,1.017562805242588,0.005148435109551763,0.0,0.013087455287814452
cluster,"cluster 5: Gender, Smoke",2,cardiovascular,0.7596902502253029,0.7570069455053481,1.0035446236469647,0.992493467936128,1.0152499119736305,0.0026833047199548155,-0.005643925214424006,0.011498644186052965
single variable,Age,1,cardiovascular,0.7596902502253029,0.6700991144690877,1.1336983348011098,1.070442688030636,1.2071104683753346,0.08959113575621525,0.049285539602723014,0.1322106013414057
single variable,LVEF,1,cardiovascular,0.7596902502253029,0.72756287124324,1.0441575295440302,1.0007883214071593,1.0936853453514441,0.03212737898206286,0.0005915603353471605,0.0655966493778038
single variable,Dyslipidemia,1,cardiovascular,0.7596902502253029,0.7302041917361576,1.0403805659058711,1.009889189380981,1.075207899348215,0.029486058489145317,0.007369319232505558,0.05357275830368436
single variable,Diabetes,1,cardiovascular,0.7596902502253029,0.7359810670663823,1.0322143927607068,1.010814182063064,1.0569921220735918,0.023709183158920566,0.008072310461528098,0.04115469325858769
single variable,Vessels,1,cardiovascular,0.7596902502253029,0.740134175217048,1.02642233754781,1.0101234610818737,1.04663740787785,0.019556075008254847,0.007661053514647981,0.033503429430229874
single variable,PostIsch_DCM,1,cardiovascular,0.7596902502253029,0.7413391517294077,1.0247539853427214,1.0037719581376994,1.0480465286287524,0.018351098495895224,0.002859802096774339,0.035024176112569236
single variable,AFib,1,cardiovascular,0.7596902502253029,0.7413843888070693,1.0246914578922937,1.0054358899675866,1.0486615199705143,0.01830586141823365,0.004039297013052653,0.0350640528157386
single variable,fT4,1,thyroid,0.7596902502253029,0.7466089466089466,1.0175209574915633,0.9947009460280093,1.0423266596799057,0.013081303616356288,-0.0040104607120311775,0.031013944748291784
single variable,Acute_MI,1,cardiovascular,0.7596902502253029,0.7480403565658506,1.0155738838916866,0.999999953666773,1.0334036250633507,0.011649893659452348,-3.478674278078822e-08,0.024621642349930663
single variable,Ischemia,1,cardiovascular,0.7596902502253029,0.7492311677615192,1.0139597535631524,1.0,1.0300038728745724,0.010459082463783687,0.0,0.02205403070037428
single variable,TSH,1,thyroid,0.7596902502253029,0.750714920081134,1.0119557103556684,0.9961147510383458,1.0302839358922768,0.008975330144168847,-0.002990575136515536,0.022350397658893812
single variable,Previous_CABG,1,cardiovascular,0.7596902502253029,0.7545418151157511,1.0068232601645304,0.9981007564144021,1.0185458051301903,0.005148435109551763,-0.001449531012970956,0.013798452416902212
single variable,Hypertension,1,cardiovascular,0.7596902502253029,0.7545418151157511,1.0068232601645304,1.0,1.017562805242588,0.005148435109551763,0.0,0.013087455287814452
single variable,Angiography,1,cardiovascular,0.7596902502253029,0.7547034813598359,1.0066075869379612,0.9928047227150644,1.0232986140827431,0.004986768865467006,-0.005412956651529219,0.017075185107873408
single variable,Previous_MI,1,cardiovascular,0.7596902502253029,0.7571230982019364,1.0033906666293277,1.0,1.0109834840329492,0.002567152023366548,0.0,0.008125931521089551
single variable,Gender,1,cardiovascular,0.7596902502253029,0.7583457631934086,1.0017729208721793,0.991006343104402,1.013112415117019,0.0013444870318942703,-0.006832454176533054,0.009891624607708562
single variable,Previous_PCI,1,cardiovascular,0.7596902502253029,0.7583457631934086,1.0017729208721793,1.0,1.005556630403658,0.0013444870318942703,0.0,0.004223480470865961
single variable,Smoke,1,cardiovascular,0.7596902502253029,0.7583457631934086,1.0017729208721793,1.0,1.005585466186316,0.0013444870318942703,0.0,0.004215005382050114
single variable,Angina,1,cardiovascular,0.7596902502253029,0.7586920426385377,1.0013156953423337,0.988387056894779,1.015462505597867,0.0009982075867651652,-0.009032805904489835,0.011698450166146705
single variable,fT3,1,thyroid,0.7596902502253029,0.7611786630339243,0.9980445946780893,0.9854257675017638,1.0106815617622102,-0.001488412808621442,-0.011200122767617,0.008070029101232893
