horizon,thyroid_set,comparison,comparison_role,threshold_note,metric,delta,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,q_bh
7,CV17_THY_CONT_RATIO,locked pipeline,secondary,baseline validation threshold applied to both arms,brier,0.0006042307355864779,-0.0016184057792499068,0.0027864909448747748,0.547,2000,False,0.823
10,CV17_THY_CONT,independently optimized,primary,each arm uses its own validation threshold,f1_macro,0.00279643806355645,-0.012516088153042882,0.01801399319628558,0.733,2000,False,
10,CV17_THY_CONT,independently optimized,primary,each arm uses its own validation threshold,roc_auc,0.003430261832829906,-0.001650750481020924,0.008159600231485455,0.178,2000,False,
10,CV17_THY_CONT,independently optimized,primary,each arm uses its own validation threshold,auprc,0.008843289093408035,0.0009099828975861175,0.017456752039427283,0.028,2000,True,
10,CV17_THY_CONT,independently optimized,primary,each arm uses its own validation threshold,brier,-0.001916248425985978,-0.0046341915439105175,0.0010150367615453983,0.179,2000,False,
10,CV17_THY_CONT,locked pipeline,primary,baseline validation threshold applied to both arms,f1_macro,-0.005745058647207757,-0.020372193175640783,0.008181184043799198,0.424,2000,False,
10,CV17_THY_CONT,locked pipeline,primary,baseline validation threshold applied to both arms,roc_auc,0.0010385196374622652,-0.004600704463193478,0.006139434820187018,0.697,2000,False,
10,CV17_THY_CONT,locked pipeline,primary,baseline validation threshold applied to both arms,auprc,0.00483971462750743,-0.0032959200965821333,0.013152039913442022,0.244,2000,False,
10,CV17_THY_CONT,locked pipeline,primary,baseline validation threshold applied to both arms,brier,-0.0010160648631303837,-0.003966900964639643,0.0019960596643587097,0.495,2000,False,
10,CV17_THY_STATES,independently optimized,secondary,each arm uses its own validation threshold,f1_macro,-0.0008164203027508643,-0.010819129543759746,0.008990265407993239,0.896,2000,False,0.9209999999999999
10,CV17_THY_STATES,independently optimized,secondary,each arm uses its own validation threshold,roc_auc,0.0013060171198389092,-0.0021140248640247493,0.004811290101252681,0.455,2000,False,0.8459999999999999
10,CV17_THY_STATES,independently optimized,secondary,each arm uses its own validation threshold,auprc,0.003081377473627245,-0.003620398411298667,0.01007992526132825,0.369,2000,False,0.5535
10,CV17_THY_STATES,independently optimized,secondary,each arm uses its own validation threshold,brier,-0.00041648065567606585,-0.0022706515385132048,0.0014514398246156161,0.682,2000,False,0.8184000000000001
10,CV17_THY_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,f1_macro,-0.004659140822152352,-0.01655282297601427,0.006679557508774962,0.421,2000,False,0.842
10,CV17_THY_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,roc_auc,-0.00031470292044299963,-0.0031833377421180476,0.0026390801154843914,0.843,2000,False,0.964
10,CV17_THY_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,auprc,-0.0005948861137273775,-0.005605644619321668,0.004516180467092818,0.802,2000,False,0.9780000000000001
10,CV17_THY_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,brier,0.0007627395054533581,-0.000791025240510703,0.0023558268333312496,0.329,2000,False,0.823
10,CV17_THY_CONT_STATES,independently optimized,secondary,each arm uses its own validation threshold,f1_macro,0.009967882566362385,-0.011701303553398521,0.02973046040278462,0.351,2000,False,0.9209999999999999
10,CV17_THY_CONT_STATES,independently optimized,secondary,each arm uses its own validation threshold,roc_auc,0.0020298338368579527,-0.004995538183925721,0.008650403720732558,0.555,2000,False,0.8459999999999999
10,CV17_THY_CONT_STATES,independently optimized,secondary,each arm uses its own validation threshold,auprc,0.005987162136337987,-0.003533125968924883,0.015584234990273511,0.233,2000,False,0.466
10,CV17_THY_CONT_STATES,independently optimized,secondary,each arm uses its own validation threshold,brier,-0.0013379937994056068,-0.005122502043776083,0.0026024133550637545,0.48,2000,False,0.8184000000000001
10,CV17_THY_CONT_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,f1_macro,0.0,-0.01745759917021786,0.016307419167140617,1.0,2000,False,1.0
10,CV17_THY_CONT_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,roc_auc,0.0007238167170192655,-0.005743390103528118,0.006431820442001385,0.781,2000,False,0.964
10,CV17_THY_CONT_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,auprc,0.0035337769297780763,-0.004460868334257231,0.011779341261629809,0.408,2000,False,0.816
10,CV17_THY_CONT_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,brier,-0.0007262567933890851,-0.0038608452889695583,0.0026528302115864403,0.659,2000,False,0.823
10,CV17_THY_CONT_RATIO,independently optimized,secondary,each arm uses its own validation threshold,f1_macro,0.000989764422890227,-0.015170191457582865,0.018260948689922514,0.921,2000,False,0.9209999999999999
10,CV17_THY_CONT_RATIO,independently optimized,secondary,each arm uses its own validation threshold,roc_auc,0.0018724823766365084,-0.004192709824816393,0.007661420079337614,0.564,2000,False,0.8459999999999999
10,CV17_THY_CONT_RATIO,independently optimized,secondary,each arm uses its own validation threshold,auprc,0.007420705011046191,-0.00271743870070239,0.01746999750283507,0.164,2000,False,0.466
10,CV17_THY_CONT_RATIO,independently optimized,secondary,each arm uses its own validation threshold,brier,-0.0013031723665135608,-0.004509001383810209,0.0020888458473908938,0.461,2000,False,0.8184000000000001
10,CV17_THY_CONT_RATIO,locked pipeline,secondary,baseline validation threshold applied to both arms,f1_macro,-0.0021467379914671403,-0.019223751025115973,0.014925756869996176,0.824,2000,False,1.0
10,CV17_THY_CONT_RATIO,locked pipeline,secondary,baseline validation threshold applied to both arms,roc_auc,-0.0002832326283987996,-0.008073159167339772,0.006590264574135615,0.964,2000,False,0.964
10,CV17_THY_CONT_RATIO,locked pipeline,secondary,baseline validation threshold applied to both arms,auprc,0.005560606415972114,-0.005536123588438513,0.016416185897032046,0.323,2000,False,0.816
10,CV17_THY_CONT_RATIO,locked pipeline,secondary,baseline validation threshold applied to both arms,brier,-0.0005748274232391104,-0.004317908202820632,0.0033550683915456706,0.771,2000,False,0.823
