feature_set,n,events,c_index,hazard_ratio_per_unit,hazard_ratio_p
CV17,878,168,0.8219044475121541,110.48226943493309,1.0339098355882564e-63
CV17_THY_CONT,878,168,0.8261733989556449,115.11840238629425,9.463558752433653e-65
CV17_THY_STATES,878,168,0.8228197587179641,87.88835122881561,9.571406499514362e-63
CV17_THY_CONT_STATES,878,168,0.822639697497149,104.83658015034037,1.7504145192875394e-63
CV17_THY_CONT_RATIO,878,168,0.8261884040573795,105.58196553433986,5.608218886847469e-64
