risk_group,n,cvd_death_risk_7y_1km,logrank_low_vs_high_p,logrank_global_p
Low,2688,0.022719981065137507,1.2209258379421325e-167,1.17678794169066e-210
Medium,2687,0.08254782222379897,1.2209258379421325e-167,1.17678794169066e-210
High,2688,0.2958522525201327,1.2209258379421325e-167,1.17678794169066e-210
