feature,HR,p,CI_lo,CI_hi,significant
AFib,1.7802601581013109,6.084516915291856e-17,1.5551914932477817,2.037900955787925,True
Acute_MI,1.8405613930152638,1.0275054938355563e-10,1.5296772514119596,2.2146281108196666,True
Age,2.295515255354123,1.0713077202731513e-87,2.1147054149469544,2.4917845532143224,True
Angina,0.8673242082331245,0.024012962521047714,0.7664728939798985,0.9814453819510345,True
Angiography,0.8036255961379773,0.0005912656409898559,0.7093948571537566,0.9103732459511523,True
Diabetes,1.8968233293269205,1.5656226625978632e-21,1.6628383411611152,2.16373333090607,True
Dyslipidemia,0.611126421822099,8.214665460234989e-15,0.5396882920876886,0.6920207625856736,True
Euthyroid,0.4763240103053806,9.358988917813252e-32,0.42079028424577813,0.539186790398611,True
Gender,1.1238052301673174,0.08412811466304261,0.9843949059272284,1.282958889513778,False
Hypertension,1.0519515334969618,0.43150348500713365,0.9272368148433671,1.1934405656806688,False
Hyperthyroid,1.6133692791719398,0.008803517125880525,1.127998448141163,2.307592209249244,True
Hypothyroid,1.6827008065633116,0.010190783223390102,1.1313553634835682,2.502734415551249,True
Ischemia,0.7810251774174399,0.0001696646233053957,0.6866261024561786,0.888402473453701,True
Low_T3,1.9112153129351328,3.496858546779171e-20,1.6649296266764502,2.193932953003775,True
PostIsch_DCM,3.656329915746473,1.3898584172174762e-68,3.1622170894112136,4.227650434737164,True
Previous_CABG,2.495472038976018,4.0697973805682484e-27,2.1133688260135375,2.946660621022728,True
Previous_MI,1.9847100962915274,2.2382086255057074e-26,1.749003496796081,2.2521819845056528,True
Previous_PCI,1.2321396869721573,0.01772887134581814,1.036869591347281,1.4641843302967135,True
SCH,1.7377928820044644,5.033423783803088e-07,1.4008421758256226,2.155791817850938,True
SCT,1.1073194310837218,0.548372339489225,0.7937781073895284,1.54470917129221,False
Smoke,0.8906148947070205,0.07359404961967676,0.7844694800693568,1.0111226896983536,False
TSH,1.0693266001113912,0.000752935761480634,1.028437047910311,1.1118418769813776,True
Vessels,1.2145154937848979,1.835307132698324e-11,1.1475739261674396,1.2853619719034586,True
fT3,0.6512468415143716,5.198146170738768e-05,0.5290931948811288,0.8016025393744338,True
fT4,1.0884389101258016,2.2615197268137472e-08,1.0565777346915683,1.1212608615320434,True
fe,0.5090336707586859,1.858762568910127e-145,0.4834664750980935,0.5359529384400205,True
