cohort,feature_set,method,brier_score,roc_auc,f1_macro_default,selected_threshold,f1_macro_selected_threshold,model,sampler,best_params,selection_source,selection_score,n_train,n_test
strict,CV17_RATIO,sigmoid,0.10537036025523966,0.840537608844245,0.7202213786560456,0.515,0.7125966044968086,XGBoost,SVMSMOTE,"{'clf__subsample': 0.8, 'clf__n_estimators': 100, 'clf__max_depth': 7, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.7}",tuning,0.7336762761735582,3073,1317
strict,CV17_RATIO_ONLY,base,0.11820281866945519,0.8295826027519392,0.7464351320054504,0.535,0.7459155133038653,XGBoost,SVMSMOTE,"{'clf__subsample': 0.8, 'clf__n_estimators': 100, 'clf__max_depth': 7, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.8}",tuning,0.7327688713601931,3073,1317
strict,CV17_RATIO_ONLY,isotonic,0.10636332042300276,0.8381118309608012,0.7025196835874836,0.535,0.6936063356230093,XGBoost,SVMSMOTE,"{'clf__subsample': 0.8, 'clf__n_estimators': 100, 'clf__max_depth': 7, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.8}",tuning,0.7327688713601931,3073,1317
strict,CV17_RATIO_ONLY,sigmoid,0.1056058631262081,0.8391668400249637,0.7247395294900261,0.535,0.7082271528870836,XGBoost,SVMSMOTE,"{'clf__subsample': 0.8, 'clf__n_estimators': 100, 'clf__max_depth': 7, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.8}",tuning,0.7327688713601931,3073,1317
competing,CV17,base,0.15458326225599817,0.7983903097564541,0.6600743391753645,0.645,0.6604735228761106,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.6545588844998436,3805,1632
competing,CV17,isotonic,0.1096618766475056,0.7977282042609786,0.5631455861925382,0.645,0.5167506849778644,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.6545588844998436,3805,1632
competing,CV17,sigmoid,0.10938637152975703,0.7977826631545457,0.560063105702051,0.645,0.5006595875947374,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.6545588844998436,3805,1632
competing,CV17_THY26,base,0.1320298416693549,0.7971592521360784,0.6615035070262532,0.52,0.6664244186046512,XGBoost,SVMSMOTE,"{'clf__subsample': 0.9, 'clf__n_estimators': 100, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.7}",tuning,0.6499227340222944,3805,1632
competing,CV17_THY26,isotonic,0.10946753488811727,0.798188238598744,0.5600309068451894,0.52,0.5568569062348676,XGBoost,SVMSMOTE,"{'clf__subsample': 0.9, 'clf__n_estimators': 100, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.7}",tuning,0.6499227340222944,3805,1632
competing,CV17_THY26,sigmoid,0.10966482766026761,0.7989377649496828,0.5703366053498626,0.52,0.5514326942898372,XGBoost,SVMSMOTE,"{'clf__subsample': 0.9, 'clf__n_estimators': 100, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.7}",tuning,0.6499227340222944,3805,1632
competing,CV17_BIN,base,0.15206725474660102,0.8016406458251526,0.6553445946532357,0.6,0.6779120870387589,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6537180564281567,3805,1632
competing,CV17_BIN,isotonic,0.1091183501518923,0.8002232814636256,0.5541633277482334,0.6,0.5171410278796345,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6537180564281567,3805,1632
competing,CV17_BIN,sigmoid,0.10884033113632169,0.8017037034913883,0.5722803415816716,0.6,0.5070416457589233,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6537180564281567,3805,1632
competing,CV17_ORD,base,0.15714972971565655,0.7964011270124711,0.6555995866099966,0.635,0.6672747054734931,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 5}",tuning,0.6536082898655603,3805,1632
competing,CV17_ORD,isotonic,0.10933781582081054,0.7951571712330926,0.584203821656051,0.635,0.521503695367864,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 5}",tuning,0.6536082898655603,3805,1632
competing,CV17_ORD,sigmoid,0.10942839249740337,0.7953578092620247,0.5697942112015184,0.635,0.5040551581212761,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 5}",tuning,0.6536082898655603,3805,1632
competing,CV17_CONT,base,0.1550076389151966,0.7923138437373706,0.6617663443980744,0.615,0.6615035070262532,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6515209136302966,3805,1632
competing,CV17_CONT,isotonic,0.10996352065225855,0.7919326314823998,0.559550076613876,0.615,0.529913243237797,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6515209136302966,3805,1632
competing,CV17_CONT,sigmoid,0.10955412692329909,0.7926491958714427,0.5695716061941901,0.615,0.5103258493429005,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6515209136302966,3805,1632
competing,CV17_CAT,base,0.15325536778621957,0.7946928375089929,0.638878817654611,0.64,0.6550724637681159,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6535083105226,3805,1632
competing,CV17_CAT,isotonic,0.10926032578347247,0.7980821870691657,0.5631455861925382,0.64,0.5206955773453921,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6535083105226,3805,1632
competing,CV17_CAT,sigmoid,0.1097379891222674,0.796934250917919,0.5626241147215437,0.64,0.49309090909090914,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.6535083105226,3805,1632
competing,CV17_RATIO,base,0.1557075762413812,0.7843743103067755,0.6462036414401398,0.645,0.6631173540325644,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.6536101078667906,3805,1632
competing,CV17_RATIO,isotonic,0.11053186483242694,0.7830629974748271,0.5692540206659767,0.645,0.5147058823529411,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.6536101078667906,3805,1632
competing,CV17_RATIO,sigmoid,0.11043374673768225,0.7841450097022817,0.5687160110948523,0.645,0.489265301933576,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.6536101078667906,3805,1632
competing,CV17_RATIO_ONLY,base,0.1883516314624871,0.7795761951577445,0.6306289623483751,0.696,0.6594749273255813,LogisticRegression,SMOTE,{},robust_cv,0.6468306628559716,3805,1632
competing,CV17_RATIO_ONLY,isotonic,0.11153423888725597,0.7804332061670398,0.557976466339643,0.696,0.4999900364665325,LogisticRegression,SMOTE,{},robust_cv,0.6468306628559716,3805,1632
competing,CV17_RATIO_ONLY,sigmoid,0.11150201806702324,0.7796679153995419,0.5641948154837423,0.696,0.47787407088571815,LogisticRegression,SMOTE,{},robust_cv,0.6468306628559716,3805,1632
