horizon,comparison,metric,delta,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,threshold_base,threshold_other
7,locked pipeline,f1_macro,-0.013967602072558982,-0.033526506734090175,0.002834922076599427,0.124,2000,False,0.43999999999999995,0.43999999999999995
7,locked pipeline,roc_auc,0.005466130114017531,-0.000767189073597227,0.01189945248031467,0.086,2000,False,0.43999999999999995,0.43999999999999995
7,locked pipeline,auprc,0.011793332793473277,-0.004535474809220147,0.027936344534145657,0.168,2000,False,0.43999999999999995,0.43999999999999995
7,locked pipeline,brier,-0.0013279133087863576,-0.003446551036403429,0.0007912475602360366,0.226,2000,False,0.43999999999999995,0.43999999999999995
7,independently optimized,f1_macro,-0.007946661653267184,-0.030465794171371383,0.013612186748717012,0.479,2000,False,0.43999999999999995,0.3999999999999999
7,independently optimized,roc_auc,0.001416834339369566,-0.005319927391186655,0.008661238348738408,0.72,2000,False,0.43999999999999995,0.3999999999999999
7,independently optimized,auprc,0.010021526583196771,-0.011190122632551716,0.02997562819227867,0.391,2000,False,0.43999999999999995,0.3999999999999999
7,independently optimized,brier,-0.0001618731305655513,-0.002560793337030458,0.002337043017340392,0.928,2000,False,0.43999999999999995,0.3999999999999999
10,locked pipeline,f1_macro,-0.0017982915795703436,-0.0167643515615103,0.012850647095136072,0.818,2000,False,0.37999999999999995,0.37999999999999995
10,locked pipeline,roc_auc,0.002155715005035197,-0.0041337535014005665,0.007941668403915794,0.489,2000,False,0.37999999999999995,0.37999999999999995
10,locked pipeline,auprc,0.006846791942062502,-0.001994651222334823,0.016035403112883154,0.156,2000,False,0.37999999999999995,0.37999999999999995
10,locked pipeline,brier,-0.0018425952644904042,-0.0052381615486473306,0.0018426553616649156,0.301,2000,False,0.37999999999999995,0.37999999999999995
10,independently optimized,f1_macro,0.007547278674466029,-0.0066029026280512325,0.02194786403551757,0.337,2000,False,0.37999999999999995,0.38999999999999996
10,independently optimized,roc_auc,0.0029110020140986625,-0.002579108827320209,0.008412952715117532,0.314,2000,False,0.37999999999999995,0.38999999999999996
10,independently optimized,auprc,0.006627334954813713,-0.003051175038046672,0.016300695468565156,0.193,2000,False,0.37999999999999995,0.38999999999999996
10,independently optimized,brier,-0.00275906579757762,-0.006032055489757096,0.0005713378729551188,0.109,2000,False,0.37999999999999995,0.38999999999999996
