model,seed,c_harrell_base,c_harrell_thy,delta_c_index,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,elapsed_s
RSF,42,0.7855045955485137,0.7935512790434254,0.008267996810046974,0.0025631753080430477,0.013706290643404973,0.002,1000,True,731.8
RSF,1,0.7855311495770596,0.7953287387339071,0.009624541987688584,0.004277700439262161,0.015122563437388553,0.0,1000,True,421.5
RSF,2,0.7840640049637612,0.792464356503964,0.008833252271211123,0.0033594598445482768,0.014331585530549714,0.0,1000,True,526.7
RSF,3,0.7849914476898221,0.7948866489276157,0.010150143806016088,0.004816478090118845,0.015491071577001964,0.0,1000,True,474.1
RSF,4,0.7866686630360638,0.7950570488742439,0.008471104976353838,0.0027797403590608975,0.014109007026137562,0.002,1000,True,644.0
RSF,5,0.7843882297111422,0.7931014881624737,0.00898439463577072,0.003691483199305226,0.014409685038121978,0.0,1000,True,635.5
RSF,6,0.7825331048291343,0.7927525907577844,0.010769402943506035,0.005241816715520295,0.01631067354056441,0.0,1000,True,420.4
RSF,7,0.7855398815190036,0.7949464207045158,0.009473229800247562,0.004258026345215097,0.014880502743224465,0.0,1000,True,461.4
RSF,8,0.7838225201973268,0.7938951608135179,0.010116518875473601,0.004457183418630306,0.015922272591471394,0.0,1000,True,460.6
RSF,9,0.7827218479799178,0.7938533783775267,0.011172647375693012,0.005776215005456525,0.016827519290457695,0.0,1000,True,472.4
