horizon,rep,fold,n_train,n_valid,n_test,arm,probabilities,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free,elapsed_s
7,0,0,2634,878,878,base,calibrated,878,168,0.19134396355353075,0.38999999999999996,0.7524269889224572,0.8616448692152918,0.6793449937237701,0.10083666349619852,0.6073619631901841,0.5892857142857143,0.9034965034965035,0.9098591549295775,200.2
7,0,0,2634,878,878,base,uncalibrated,878,168,0.19134396355353075,0.38999999999999996,0.6464070499245818,0.8616448692152918,0.6793449937237701,0.15454924574943207,0.3702770780856423,0.875,0.9563409563409564,0.647887323943662,200.2
7,0,0,2634,878,878,thy_locked,calibrated,878,168,0.19134396355353075,0.38999999999999996,0.7452030111662639,0.8639587525150907,0.6882253735233974,0.10029742126031536,0.6103896103896104,0.5595238095238095,0.8977900552486188,0.9154929577464789,200.2
7,0,0,2634,878,878,thy_locked,uncalibrated,878,168,0.19134396355353075,0.38999999999999996,0.6428244796151676,0.8639587525150907,0.6882253735233974,0.1536001860558246,0.36683417085427134,0.8690476190476191,0.9541666666666667,0.6450704225352113,200.2
7,0,0,2634,878,878,thy_own,calibrated,878,168,0.19134396355353075,0.27999999999999997,0.7579008821756402,0.8635731052984574,0.6868214863628288,0.10018033715784606,0.5534883720930233,0.7083333333333334,0.9260935143288085,0.8647887323943662,200.2
7,0,0,2634,878,878,thy_own,uncalibrated,878,168,0.19134396355353075,0.27999999999999997,0.5052127359819667,0.8635731052984574,0.6868214863628288,0.14622362816918397,0.2770034843205575,0.9464285714285714,0.9703947368421053,0.4154929577464789,200.2
7,0,1,2634,878,878,base,calibrated,878,168,0.19134396355353075,0.37999999999999995,0.7028568917018284,0.8206321260898726,0.5553822163330456,0.11907785719776666,0.5472972972972973,0.48214285714285715,0.8808219178082192,0.9056338028169014,199.8
7,0,1,2634,878,878,base,uncalibrated,878,168,0.19134396355353075,0.37999999999999995,0.6174280788629604,0.8206321260898726,0.5553822163330456,0.16462946220502495,0.3436754176610978,0.8571428571428571,0.9477124183006536,0.6126760563380281,199.8
7,0,1,2634,878,878,thy_locked,calibrated,878,168,0.19134396355353075,0.37999999999999995,0.7069521796323323,0.8233065057008718,0.5594497552119965,0.11853964247084046,0.5496688741721855,0.49404761904761907,0.8830811554332875,0.9042253521126761,199.8
7,0,1,2634,878,878,thy_locked,uncalibrated,878,168,0.19134396355353075,0.37999999999999995,0.6243102266350609,0.8233065057008718,0.5594497552119965,0.16252723905783095,0.3491271820448878,0.8333333333333334,0.9412997903563941,0.6323943661971831,199.8
7,0,1,2634,878,878,thy_own,calibrated,878,168,0.19134396355353075,0.43999999999999995,0.6890139920012197,0.8221076458752515,0.5531868000410207,0.11854110248675313,0.5691056910569106,0.4166666666666667,0.8701986754966887,0.9253521126760563,199.8
7,0,1,2634,878,878,thy_own,uncalibrated,878,168,0.19134396355353075,0.43999999999999995,0.69313616374396,0.8221076458752515,0.5531868000410207,0.1561585695412734,0.43309859154929575,0.7321428571428571,0.9242424242424242,0.7732394366197183,199.8
7,0,2,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.26999999999999996,0.7189693408628455,0.8466462473189175,0.605953037290864,0.11142207331436702,0.5023474178403756,0.6331360946745562,0.9067669172932331,0.8504936530324401,200.4
7,0,2,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.26999999999999996,0.4625080446418761,0.8466462473189175,0.605953037290864,0.1579612543377472,0.26232114467408585,0.9763313609467456,0.9839357429718876,0.3455571227080395,200.4
7,0,2,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.26999999999999996,0.7179008567931456,0.8485574315019905,0.6166841127008783,0.11026812978317514,0.5023696682464455,0.6272189349112426,0.9055472263868066,0.8519040902679831,200.4
7,0,2,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.26999999999999996,0.44771226476652837,0.8485574315019905,0.6166841127008783,0.15749957472064466,0.25585023400936036,0.9704142011834319,0.9789029535864979,0.32722143864598024,200.4
7,0,2,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.32999999999999996,0.7312585379882702,0.8491499820565677,0.6187676273112525,0.10995697416878877,0.5568181818181818,0.5798816568047337,0.8988603988603988,0.8899858956276445,200.4
7,0,2,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.32999999999999996,0.6062585322723254,0.8491499820565677,0.6187676273112525,0.14987243588457394,0.33771929824561403,0.9112426035502958,0.9644549763033176,0.5740479548660085,200.4
7,0,3,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.37999999999999995,0.7272661181058128,0.8400196960466028,0.6142068874667506,0.11094710692347388,0.5958904109589042,0.514792899408284,0.8879781420765027,0.9167842031029619,199.7
7,0,3,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.37999999999999995,0.5965096281259692,0.8400196960466028,0.6142068874667506,0.16601109142350534,0.3297180043383948,0.8994082840236687,0.9592326139088729,0.5641748942172073,199.7
7,0,3,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.37999999999999995,0.7325034818941505,0.8419225344472171,0.6150050747565019,0.11073147912842543,0.5960264900662252,0.5325443786982249,0.8913342503438789,0.9139633286318759,199.7
7,0,3,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.37999999999999995,0.5974653080973871,0.8419225344472171,0.6150050747565019,0.1649503127325904,0.33043478260869563,0.8994082840236687,0.9593301435406698,0.5655853314527504,199.7
7,0,3,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.36999999999999994,0.7300349406009783,0.8425484681316298,0.616779093294968,0.1107193414659874,0.5833333333333334,0.5384615384615384,0.8919667590027701,0.9083215796897038,199.7
7,0,3,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.36999999999999994,0.6064533847114888,0.8425484681316298,0.616779093294968,0.15798774706900343,0.33705357142857145,0.893491124260355,0.958139534883721,0.5811001410437235,199.7
7,0,4,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.35999999999999993,0.7325616813889735,0.8361722903330802,0.6085970354089197,0.11074732800393493,0.572289156626506,0.5621301775147929,0.8960674157303371,0.8998589562764457,199.5
7,0,4,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.35999999999999993,0.5920648249581204,0.8361722903330802,0.6085970354089197,0.1595252328647995,0.3244444444444444,0.863905325443787,0.9462616822429907,0.5712270803949224,199.5
7,0,4,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.35999999999999993,0.7362504857836083,0.8403952562572503,0.6109428386846079,0.1098953764056771,0.5783132530120482,0.5680473372781065,0.8974719101123596,0.9012693935119888,199.5
7,0,4,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.35999999999999993,0.5930122112830662,0.8403952562572503,0.6109428386846079,0.15904036328179336,0.32516703786191536,0.863905325443787,0.9463869463869464,0.5726375176304654,199.5
7,0,4,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.3499999999999999,0.7458166869318511,0.8400447333939793,0.611505568707201,0.10966697427878885,0.5838150289017341,0.5976331360946746,0.9035460992907801,0.8984485190409027,199.5
7,0,4,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.3499999999999999,0.6225460978748272,0.8400447333939793,0.611505568707201,0.15004793018651527,0.3492822966507177,0.863905325443787,0.95,0.616361071932299,199.5
7,1,0,2634,878,878,base,calibrated,878,168,0.19134396355353075,0.30999999999999994,0.7299031878637995,0.8443745808182427,0.6108016311560786,0.11121942534976369,0.5401069518716578,0.6011904761904762,0.9030390738060782,0.8788732394366198,199.8
7,1,0,2634,878,878,base,uncalibrated,878,168,0.19134396355353075,0.30999999999999994,0.5250459807421832,0.8443745808182427,0.6108016311560786,0.16065070723846778,0.2887700534759358,0.9642857142857143,0.9810725552050473,0.43802816901408453,199.8
7,1,0,2634,878,878,thy_locked,calibrated,878,168,0.19134396355353075,0.30999999999999994,0.7157031054306853,0.8471076458752514,0.6177551822369165,0.10984604198018223,0.5248618784530387,0.5654761904761905,0.8952654232424677,0.8788732394366198,199.8
7,1,0,2634,878,878,thy_locked,uncalibrated,878,168,0.19134396355353075,0.30999999999999994,0.5289768888591592,0.8471076458752514,0.6177551822369165,0.15898948199031165,0.29084380610412924,0.9642857142857143,0.9813084112149533,0.44366197183098594,199.8
7,1,0,2634,878,878,thy_own,calibrated,878,168,0.19134396355353075,0.33999999999999997,0.7288564369838906,0.8473340040241449,0.6151748937485475,0.10986520650185348,0.5670731707317073,0.5535714285714286,0.8949579831932774,0.9,199.8
7,1,0,2634,878,878,thy_own,uncalibrated,878,168,0.19134396355353075,0.33999999999999997,0.6043385700744333,0.8473340040241449,0.6151748937485475,0.1517119990289957,0.3355119825708061,0.9166666666666666,0.9665871121718377,0.5704225352112676,199.8
7,1,1,2634,878,878,base,calibrated,878,168,0.19134396355353075,0.4599999999999999,0.6947806502154328,0.8443913480885311,0.5830540916981131,0.11168334240639735,0.6203703703703703,0.39880952380952384,0.8688311688311688,0.9422535211267605,200.2
7,1,1,2634,878,878,base,uncalibrated,878,168,0.19134396355353075,0.4599999999999999,0.7062700308449922,0.8443913480885311,0.5830540916981131,0.1558628919134633,0.445578231292517,0.7797619047619048,0.9366438356164384,0.7704225352112676,200.2
7,1,1,2634,878,878,thy_locked,calibrated,878,168,0.19134396355353075,0.4599999999999999,0.6965664275075204,0.8463028169014086,0.5943240065637891,0.10975834388508149,0.6181818181818182,0.40476190476190477,0.8697916666666666,0.9408450704225352,200.2
7,1,1,2634,878,878,thy_locked,uncalibrated,878,168,0.19134396355353075,0.4599999999999999,0.7082524627540927,0.8463028169014086,0.5943240065637891,0.1553962110712478,0.45195729537366547,0.7559523809523809,0.931323283082077,0.7830985915492957,200.2
7,1,1,2634,878,878,thy_own,calibrated,878,168,0.19134396355353075,0.43999999999999995,0.7230237925251954,0.8436452045606975,0.5981677941077044,0.11004192434802208,0.6470588235294118,0.4583333333333333,0.8801054018445322,0.9408450704225352,200.2
7,1,1,2634,878,878,thy_own,uncalibrated,878,168,0.19134396355353075,0.43999999999999995,0.7007577512325867,0.8436452045606975,0.5981677941077044,0.1500613923557847,0.4370860927152318,0.7857142857142857,0.9375,0.7605633802816901,200.2
7,1,2,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.3999999999999999,0.7287424464037644,0.8327087906126639,0.5875754310417463,0.11281146322379368,0.5844155844155844,0.5325443786982249,0.8908839779005525,0.9097320169252469,199.3
7,1,2,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.3999999999999999,0.6366427703685904,0.8327087906126639,0.5875754310417463,0.16478300723604405,0.36180904522613067,0.8520710059171598,0.9479166666666666,0.6417489421720733,199.3
7,1,2,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.3999999999999999,0.7439176941574,0.8333931447742884,0.5991235029529106,0.11220870098201045,0.6103896103896104,0.5562130177514792,0.8964088397790055,0.9153737658674189,199.3
7,1,2,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.3999999999999999,0.6476972531119713,0.8333931447742884,0.5991235029529106,0.1624119556398153,0.37244897959183676,0.863905325443787,0.9526748971193416,0.6530324400564175,199.3
7,1,2,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.41999999999999993,0.741446905766526,0.8384173058145066,0.6002269921464707,0.11133108480933207,0.6190476190476191,0.5384615384615384,0.893296853625171,0.921015514809591,199.3
7,1,2,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.41999999999999993,0.6871342835708927,0.8384173058145066,0.6002269921464707,0.15492903836981656,0.414985590778098,0.8520710059171598,0.9529190207156308,0.7136812411847673,199.3
7,1,3,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.38999999999999996,0.7425219941348973,0.84161374049624,0.5944413371578764,0.11086881779422739,0.5962732919254659,0.5680473372781065,0.898186889818689,0.9083215796897038,200.0
7,1,3,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.38999999999999996,0.6209310546659944,0.84161374049624,0.5944413371578764,0.1637600252681896,0.34823529411764703,0.8757396449704142,0.9536423841059603,0.609308885754584,200.0
7,1,3,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.38999999999999996,0.7325140151083387,0.846571135276788,0.6033201619427743,0.1099579672483078,0.563953488372093,0.5739644970414202,0.8980169971671388,0.8942172073342737,200.0
7,1,3,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.38999999999999996,0.6324897404825047,0.846571135276788,0.6033201619427743,0.1604172634372632,0.3583535108958838,0.8757396449704142,0.9548387096774194,0.6262341325811002,200.0
7,1,3,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.3999999999999999,0.7438585953923378,0.8449854366096091,0.5964674096221335,0.11025430012197537,0.6050955414012739,0.5621301775147929,0.897364771151179,0.9125528913963329,200.0
7,1,3,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.3999999999999999,0.6620585259730875,0.8449854366096091,0.5964674096221335,0.15416742591653076,0.3870967741935484,0.8520710059171598,0.950592885375494,0.6784203102961918,200.0
7,1,4,2634,878,878,base,calibrated,878,169,0.19248291571753987,0.4499999999999999,0.7400639478214927,0.8397109020956259,0.6453193461022566,0.1079117944036361,0.6466165413533834,0.5088757396449705,0.8885906040268456,0.9337094499294781,200.0
7,1,4,2634,878,878,base,uncalibrated,878,169,0.19248291571753987,0.4499999999999999,0.683750128640527,0.8397109020956259,0.6453193461022566,0.1609929249044086,0.4148606811145511,0.7928994082840237,0.9369369369369369,0.7334273624823695,200.0
7,1,4,2634,878,878,thy_locked,calibrated,878,169,0.19248291571753987,0.4499999999999999,0.7440724881653128,0.8390933141936723,0.6468330545378236,0.10813476273613847,0.6470588235294118,0.5207100591715976,0.8908355795148248,0.9322990126939351,200.0
7,1,4,2634,878,878,thy_locked,uncalibrated,878,169,0.19248291571753987,0.4499999999999999,0.6781028095091077,0.8390933141936723,0.6468330545378236,0.16067978885055065,0.4086687306501548,0.7810650887573964,0.9333333333333333,0.7306064880112835,200.0
7,1,4,2634,878,878,thy_own,calibrated,878,169,0.19248291571753987,0.3999999999999999,0.741446905766526,0.8379666335617296,0.6454982016117935,0.10772254294216778,0.6190476190476191,0.5384615384615384,0.893296853625171,0.921015514809591,200.0
7,1,4,2634,878,878,thy_own,uncalibrated,878,169,0.19248291571753987,0.3999999999999999,0.6457787322849932,0.8379666335617296,0.6454982016117935,0.15439134684853906,0.37066666666666664,0.8224852071005917,0.9403578528827038,0.6671368124118476,200.0
7,2,0,2634,878,878,base,calibrated,878,168,0.19134396355353075,0.30999999999999994,0.7350393260442452,0.8508886653252851,0.6042968012484824,0.11001108911031675,0.5757575757575758,0.5654761904761905,0.8976157082748948,0.9014084507042254,117.7
7,2,0,2634,878,878,base,uncalibrated,878,168,0.19134396355353075,0.30999999999999994,0.5679675816488976,0.8508886653252851,0.6042968012484824,0.14991685858537773,0.30985915492957744,0.9166666666666666,0.963254593175853,0.5169014084507042,117.7
