horizon,arm,probabilities,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,base,calibrated,878,168,0.19134396355353075,0.41999999999999993,0.7467307692307692,0.8413983903420523,0.6087153281660653,0.1084883724057465,0.6590909090909091,0.5178571428571429,0.8914209115281502,0.9366197183098591
7,base,uncalibrated,878,168,0.19134396355353075,0.41999999999999993,0.6651787946986747,0.8413983903420523,0.6087153281660653,0.15964088419521733,0.39080459770114945,0.8095238095238095,0.939622641509434,0.7014084507042253
7,thy_locked,calibrated,878,168,0.19134396355353075,0.41999999999999993,0.7333653000879086,0.8429996646545943,0.6080111733854215,0.10885961344655197,0.631578947368421,0.5,0.887248322147651,0.9309859154929577
7,thy_locked,uncalibrated,878,168,0.19134396355353075,0.41999999999999993,0.6771895126527714,0.8429996646545943,0.6080111733854215,0.1592886200663361,0.40476190476190477,0.8095238095238095,0.940959409594096,0.7183098591549296
7,thy_own,calibrated,878,168,0.19134396355353075,0.4099999999999999,0.7561351840842158,0.8502179745137491,0.6343309009699999,0.10527821599822693,0.6793893129770993,0.5297619047619048,0.8942436412315931,0.9408450704225352
7,thy_own,uncalibrated,878,168,0.19134396355353075,0.4099999999999999,0.6935150230128768,0.8502179745137491,0.6343309009699999,0.14432016231010197,0.425,0.8095238095238095,0.942652329749104,0.7408450704225352
10,base,calibrated,523,192,0.367112810707457,0.4499999999999999,0.7687380081746279,0.8586511832829808,0.7933481777698972,0.1477464022626925,0.6790697674418604,0.7604166666666666,0.8506493506493507,0.7915407854984894
10,base,uncalibrated,523,192,0.367112810707457,0.4499999999999999,0.7400133550971955,0.8586511832829808,0.7933481777698972,0.16317748416275343,0.6082089552238806,0.8489583333333334,0.8862745098039215,0.6827794561933535
10,thy_locked,calibrated,523,192,0.367112810707457,0.4499999999999999,0.7620600845131242,0.8569360523665659,0.793872327869901,0.1480346369639841,0.6745283018867925,0.7447916666666666,0.842443729903537,0.7915407854984894
10,thy_locked,uncalibrated,523,192,0.367112810707457,0.4499999999999999,0.7418319211084017,0.8569360523665659,0.793872327869901,0.1655443213205774,0.6104868913857678,0.8489583333333334,0.88671875,0.6858006042296072
10,thy_own,calibrated,523,192,0.367112810707457,0.36999999999999994,0.7564738043739485,0.8570619335347432,0.791333830107415,0.14800073479603582,0.6382113821138211,0.8177083333333334,0.8736462093862816,0.7311178247734139
10,thy_own,uncalibrated,523,192,0.367112810707457,0.36999999999999994,0.7069384167444928,0.8570619335347432,0.791333830107415,0.1625634246289514,0.5631067961165048,0.90625,0.9158878504672897,0.5921450151057401
