horizon,comparison,metric,delta,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,threshold_base,threshold_other
7,locked pipeline,f1_macro,-0.014109421636049335,-0.03075102035628558,0.001222450137020082,0.076,2000,False,0.43999999999999995,0.43999999999999995
7,locked pipeline,roc_auc,0.0025653923541246737,-0.0026002148768638268,0.00808042288623411,0.374,2000,False,0.43999999999999995,0.43999999999999995
7,locked pipeline,auprc,0.004105943978983784,-0.009612449236199656,0.01730479209132602,0.575,2000,False,0.43999999999999995,0.43999999999999995
7,locked pipeline,brier,-0.0003285366105802573,-0.002169664725367219,0.0015333060847209734,0.76,2000,False,0.43999999999999995,0.43999999999999995
7,independently optimized,f1_macro,0.021248018542157743,0.00046678440833541895,0.043068576712130414,0.045,2000,True,0.43999999999999995,0.38999999999999996
7,independently optimized,roc_auc,0.003403755868544689,-0.0029128327205254767,0.01020573389789664,0.319,2000,False,0.43999999999999995,0.38999999999999996
7,independently optimized,auprc,0.006946680133382177,-0.011988874712701563,0.026166455764619616,0.494,2000,False,0.43999999999999995,0.38999999999999996
7,independently optimized,brier,-0.000863088971936099,-0.0030289104206945886,0.0013919258040677065,0.486,2000,False,0.43999999999999995,0.38999999999999996
10,locked pipeline,f1_macro,-0.005745058647207757,-0.020372193175640783,0.008181184043799198,0.424,2000,False,0.37999999999999995,0.37999999999999995
10,locked pipeline,roc_auc,0.0010385196374622652,-0.004600704463193478,0.006139434820187018,0.697,2000,False,0.37999999999999995,0.37999999999999995
10,locked pipeline,auprc,0.00483971462750743,-0.0032959200965821333,0.013152039913442022,0.244,2000,False,0.37999999999999995,0.37999999999999995
10,locked pipeline,brier,-0.0010160648631303837,-0.003966900964639643,0.0019960596643587097,0.495,2000,False,0.37999999999999995,0.37999999999999995
10,independently optimized,f1_macro,0.00279643806355645,-0.012516088153042882,0.01801399319628558,0.733,2000,False,0.37999999999999995,0.37999999999999995
10,independently optimized,roc_auc,0.003430261832829906,-0.001650750481020924,0.008159600231485455,0.178,2000,False,0.37999999999999995,0.37999999999999995
10,independently optimized,auprc,0.008843289093408035,0.0009099828975861175,0.017456752039427283,0.028,2000,True,0.37999999999999995,0.37999999999999995
10,independently optimized,brier,-0.0019162484259860058,-0.004634191543910491,0.0010150367615453983,0.179,2000,False,0.37999999999999995,0.37999999999999995
