horizon,arm,probabilities,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,base,calibrated,878,168,0.19134396355353075,0.43999999999999995,0.7453215061007561,0.8432427900737759,0.610018201004505,0.10823517964825392,0.6774193548387096,0.5,0.8885941644562334,0.9436619718309859
7,base,uncalibrated,878,168,0.19134396355353075,0.43999999999999995,0.7056522808037011,0.8432427900737759,0.610018201004505,0.14366677124521277,0.4509090909090909,0.7380952380952381,0.9270315091210614,0.7873239436619718
7,thy_locked,calibrated,878,168,0.19134396355353075,0.43999999999999995,0.7313539040281971,0.8487089201877934,0.6218115337979783,0.10690726633946757,0.6638655462184874,0.47023809523809523,0.8827404479578392,0.9436619718309859
7,thy_locked,uncalibrated,878,168,0.19134396355353075,0.43999999999999995,0.738823729389767,0.8487089201877934,0.6218115337979783,0.14047859856735384,0.5,0.7619047619047619,0.9356913183279743,0.819718309859155
7,thy_own,calibrated,878,168,0.19134396355353075,0.3999999999999999,0.7373748444474889,0.8446596244131455,0.6200397275877018,0.10807330651768837,0.6390977443609023,0.5059523809523809,0.8885906040268456,0.9323943661971831
7,thy_own,uncalibrated,878,168,0.19134396355353075,0.3999999999999999,0.6711431613138856,0.8446596244131455,0.6200397275877018,0.14984016784517762,0.39660056657223797,0.8333333333333334,0.9466666666666667,0.7
10,base,calibrated,523,192,0.367112810707457,0.37999999999999995,0.7476173241645554,0.8541981369587109,0.785414463641671,0.15057079951975044,0.6333333333333333,0.7916666666666666,0.8586572438162544,0.7341389728096677
10,base,uncalibrated,523,192,0.367112810707457,0.37999999999999995,0.7106718006396706,0.8541981369587109,0.785414463641671,0.16734049519048738,0.5667752442996743,0.90625,0.9166666666666666,0.5981873111782477
10,thy_locked,calibrated,523,192,0.367112810707457,0.37999999999999995,0.745819032584985,0.8563538519637461,0.7922612555837335,0.14872820425526004,0.6307053941908713,0.7916666666666666,0.8581560283687943,0.7311178247734139
10,thy_locked,uncalibrated,523,192,0.367112810707457,0.37999999999999995,0.7052334943639291,0.8563538519637461,0.7922612555837335,0.16801135980308293,0.5605095541401274,0.9166666666666666,0.9234449760765551,0.5830815709969789
10,thy_own,calibrated,523,192,0.367112810707457,0.38999999999999996,0.7551646028390214,0.8571091389728096,0.7920417985964847,0.14781173372217282,0.6428571428571429,0.796875,0.8631578947368421,0.743202416918429
10,thy_own,uncalibrated,523,192,0.367112810707457,0.38999999999999996,0.7297436957420422,0.8571091389728096,0.7920417985964847,0.16063488244850688,0.5928571428571429,0.8645833333333334,0.8930041152263375,0.6555891238670695
