k,horizon,model,sampler,feature_set,best_cv_f1_macro,n_candidates,n_failed_candidates,final_fit_convergence_warnings,final_fit_other_warnings,elapsed_seconds,positive_weight_ratio
3,7,LogisticRegression,RandomOverSampler,CV17,0.7047449935569065,1000,0,0,0,31.56,4.205533596837944
3,7,RandomForest,RandomOverSampler,CV17,0.7109210461376841,1000,0,0,0,966.94,4.205533596837944
3,7,AdaBoost,RandomOverSampler,CV17,0.7109545071693585,1000,0,0,0,615.73,4.205533596837944
3,7,LogisticRegression,RandomOverSampler,CV17_THY_CONT,0.7030895510610691,1000,0,0,0,14.05,4.205533596837944
3,7,RandomForest,RandomOverSampler,CV17_THY_CONT,0.7252493307921565,1000,0,0,0,909.78,4.205533596837944
3,7,AdaBoost,RandomOverSampler,CV17_THY_CONT,0.7095955345810744,1000,0,0,0,665.25,4.205533596837944
3,10,LogisticRegression,RandomOverSampler,CV17,0.786539096051281,1000,0,0,0,9.03,1.7175043327556325
3,10,RandomForest,RandomOverSampler,CV17,0.784400669063798,1000,0,0,0,530.87,1.7175043327556325
3,10,AdaBoost,RandomOverSampler,CV17,0.7772502970249846,1000,0,0,0,430.64,1.7175043327556325
3,10,LogisticRegression,RandomOverSampler,CV17_THY_CONT,0.7861824334760515,1000,0,0,0,16.29,1.7175043327556325
3,10,RandomForest,RandomOverSampler,CV17_THY_CONT,0.7841305360441676,1000,0,0,0,608.09,1.7175043327556325
3,10,AdaBoost,RandomOverSampler,CV17_THY_CONT,0.777908983373607,1000,0,0,0,477.18,1.7175043327556325
