horizon,feature_set,model,protocol,threshold,signature,cache_hit,split,n,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier
7,CV17,ENSEMBLE_PAPER,paper_ensemble_sampling_refined,0.5,26789f1405052da3832dcc652528101af6179cef3c55923db729b2f0ae886997,False,validation,878,0.7234645669291339,0.8366479999332338,0.5094339622641509,0.6390532544378699,0.9084084084084084,0.8533145275035261,0.14258687802646322
7,CV17,ENSEMBLE_PAPER,paper_ensemble_sampling_refined,0.5,26789f1405052da3832dcc652528101af6179cef3c55923db729b2f0ae886997,False,test,878,0.7386432145656237,0.8410714285714286,0.5227272727272727,0.6845238095238095,0.9194528875379939,0.852112676056338,0.14141699182239276
7,CV17_THY26,ENSEMBLE_PAPER,paper_ensemble_sampling_refined,0.5,e1ce32077cafe1261e41d2d96d1a46c2d082739b062b659f37a0bd4373124c95,False,validation,878,0.7199298607218154,0.8333096869497,0.5,0.6449704142011834,0.9090909090909091,0.846262341325811,0.1409370719473354
7,CV17_THY26,ENSEMBLE_PAPER,paper_ensemble_sampling_refined,0.5,e1ce32077cafe1261e41d2d96d1a46c2d082739b062b659f37a0bd4373124c95,False,test,878,0.7510133951657297,0.8431673373574781,0.5327510917030568,0.7261904761904762,0.9291217257318952,0.8492957746478873,0.1384509902042597
10,CV17,ENSEMBLE_PAPER,paper_ensemble_sampling_refined,0.5,9640ce12a862e1e703b3b65607817fd63797398ef8cea89a1ec543a7e7df0499,False,validation,523,0.7381478189658184,0.8106610142879572,0.6568627450980392,0.694300518134715,0.8150470219435737,0.7878787878787878,0.17163901399438272
10,CV17,ENSEMBLE_PAPER,paper_ensemble_sampling_refined,0.5,9640ce12a862e1e703b3b65607817fd63797398ef8cea89a1ec543a7e7df0499,False,test,523,0.7615821933549085,0.8555041540785498,0.6473029045643154,0.8125,0.8723404255319149,0.743202416918429,0.1592594808968426
10,CV17_THY26,ENSEMBLE_PAPER,paper_ensemble_sampling_refined,0.5,3f8deb569ca22efb4bba3d8c2bcd7637aaa3a4a6997177e19119049a2cd22469,False,validation,523,0.7439860139860139,0.8142408541372271,0.6650246305418719,0.6994818652849741,0.81875,0.793939393939394,0.1715030678085562
10,CV17_THY26,ENSEMBLE_PAPER,paper_ensemble_sampling_refined,0.5,3f8deb569ca22efb4bba3d8c2bcd7637aaa3a4a6997177e19119049a2cd22469,False,test,523,0.7569675057519466,0.8557716515609265,0.6455696202531646,0.796875,0.8636363636363636,0.7462235649546828,0.15986188822104216
