horizon,base,feature_set,model,split,threshold,delta_f1_macro,delta_f1_ci_lo,delta_f1_ci_hi,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi
7,CV17,CV17_THY26,ENSEMBLE_PAPER,test,0.5,0.012370180600106084,-0.005089394637468522,0.032183418052912374,0.002095908786049483,-0.006738190756595782,0.010508307925225524
10,CV17,CV17_THY26,ENSEMBLE_PAPER,test,0.5,-0.004614687602961909,-0.022693099301066437,0.011960665654045565,0.00026749748237664406,-0.006503334500742197,0.0068501970525800555
